Id,SalePrice
1460,116303.06745729147
1461,156186.4246506818
1462,183042.4920413374
1463,195609.20928829914
1464,191564.14778008743
1465,169975.45170536567
1466,187312.83340852754
1467,165509.77285394724
1468,195284.2700963822
1469,120899.43575302203
1470,183947.18196732318
1471,95541.96954137305
1472,94875.21064762419
1473,144629.70883080328
1474,114881.69716496272
1475,359975.56028165965
1476,259115.58380911543
1477,300143.7603740128
1478,304428.43537042354
1479,496283.5114404774
1480,314023.39557116624
1481,210393.83914244326
1482,173381.95234835474
1483,157480.57858443473
1484,201068.05088974006
1485,197363.085451355
1486,319919.502105527
1487,234227.583636995
1488,199408.71933270033
1489,229593.55704200763
1490,189449.46465702588
1491,87030.54259493199
1492,193178.73469352332
1493,288860.63196001976
1494,290211.47574649996
1495,237699.45846405058
1496,177121.3739633569
1497,172655.0000729889
1498,161389.74626850183
1499,155969.52016279285
1500,174414.65185916942
1501,146530.80399942002
1502,282061.83584259014
1503,246981.8372457201
1504,227358.90829723686
1505,192610.95908415358
1506,233964.49042227017
1507,199828.3987481792
1508,162781.48690391815
1509,146336.2109277095
1510,155355.38466078724
1511,174398.9053493284
1512,153512.4824350485
1513,161302.5503892906
1514,194559.69277724146
1515,158630.96871292123
1516,168524.26824901276
1517,127602.73132287854
1518,204632.0534155032
1519,131424.36102406704
1520,131278.98844431626
1521,172259.00940946923
1522,114403.7577646968
1523,134890.20918268707
1524,116980.49849661105
1525,115729.58486996996
1526,108425.64252826237
1527,136046.34230631392
1528,157988.5620841376
1529,170560.9736997161
1530,103555.13146239168
1531,95601.05449959583
1532,138474.67738309747
1533,122442.12335956139
1534,149800.29102685268
1535,103499.95765040368
1536,57082.462084704894
1537,149988.6270696551
1538,219017.69386091724
1539,84432.18143705376
1540,144078.98552268316
1541,147170.13776695897
1542,192257.04160863103
1543,80468.66773113569
1544,122647.76051052612
1545,146780.05003048698
1546,128240.33910213718
1547,142268.23111618013
1548,118879.69684319026
1549,141610.52839987594
1550,106540.64322895372
1551,132679.76134105935
1552,142508.05130121627
1553,122207.6344089006
1554,172938.4802498046
1555,93171.22032606162
1556,113010.72827387598
1557,100113.8094472998
1558,66743.8650235538
1559,139133.372211775
1560,127227.35402222553
1561,131876.32758634142
1562,120018.43050380045
1563,151234.43874354634
1564,153630.71738345275
1565,254215.35712124078
1566,75864.19186134689
1567,233161.1266661606
1568,131120.70169575038
1569,146460.23886069827
1570,127133.97779321148
1571,143658.00496645013
1572,209605.85188986323
1573,117211.09098123852
1574,223739.4436753626
1575,238850.52387371275
1576,177234.2015849139
1577,154612.9045893375
1578,144484.04845529862
1579,204945.29789923597
1580,154402.97717725125
1581,132154.61524283263
1582,307811.0475111551
1583,219038.33208586965
1584,136442.6061933222
1585,63550.13599901767
1586,109259.13449927843
1587,149992.21830266263
1588,95630.09061554693
1589,136065.32957776161
1590,97056.11680359535
1591,110571.43316030363
1592,124796.19588886794
1593,131182.81411290856
1594,111025.60353727409
1595,226327.5969743989
1596,201562.41193565773
1597,241764.1398613205
1598,169628.6818126102
1599,161145.4113251447
1600,66292.21696678175
1601,114056.08171984572
1602,66086.42013179595
1603,255937.14834659192
1604,240701.0249300747
1605,166668.88831409646
1606,173925.53051239465
1607,213012.56377357958
1608,189784.90930603715
1609,157946.1763956455
1610,141046.62781867213
1611,167562.75537218805
1612,159313.7612820097
1613,124120.27584247904
1614,92027.16794109263
1615,79274.98382048214
1616,92530.68528664343
1617,133229.79596476612
1618,133790.13783608147
1619,148623.45511693833
1620,139105.19098211348
1621,140497.57318944662
1622,268085.3540598337
1623,194427.5897551482
1624,117981.1392540988
1625,171880.90843390673
1626,192059.1100445178
1627,288842.6519936993
1628,199119.66663021586
1629,352907.7934077303
1630,230696.7995066025
1631,245884.12685854067
1632,180565.72402783553
1633,190186.59172827285
1634,181606.8673317695
1635,158343.4512533532
1636,194186.2895199655
1637,178855.9615697396
1638,186735.78327332737
1639,256101.1455117988
1640,183563.76256389153
1641,252035.11141621787
1642,219591.02588275442
1643,239276.33950102475
1644,191148.10371069578
1645,165597.35072912482
1646,162919.28191769094
1647,133698.95531279914
1648,145635.69761789872
1649,116327.22906088174
1650,117860.90769234035
1651,99722.2421909972
1652,102670.18392614102
1653,142476.0746836429
1654,138548.25427625544
1655,139422.5571141436
1656,148798.19386940927
1657,139616.11002596898
1658,120889.84673688322
1659,161165.61668583742
1660,413709.6511633084
1661,445963.0873188365
1662,384748.02349225205
1663,504942.7352232091
1664,308398.41101275466
1665,327659.39963130944
1666,375409.1652768269
1667,349901.0177983898
1668,325560.1147221094
1669,361124.82275999984
1670,253228.22981614838
1671,449167.5948288149
1672,296986.15297762153
1673,237588.39027739735
